UGS,Nom,Famille,Categorie,Classification 1,Classification 2,Marque,PV HT 1,PV HT 2,PV HT 3,PV HT 4,PV TTC 1,PV TTC 2,PV TTC 3,PV TTC 4,Promo P1,Promo P2,Promo P3,Promo P4,Fournisseur,Réf Four,PA HT,Stock,Stock Rés,Cde Client,Cde Four,Stock Mini,Stock Maxi,Poids / U,Contenance,Prix / UC,Prix Conseillé,Date P.Conseil,Remise Maxi,Fidélité,DélaiLivraison,Champ libre 1,Champ libre 2,Mettre en ligne,Syn. stock non publié,Marge,Coeff,Code groupe,Profil TVA,Emplacement,Identifiant
5600450611242,VITA BLACK ALOE VERA GELATINE - 500ML,SOIN CAPILLAIRE,GEL,,,VITA HAIR,12.81 ,9.17 ,7.42 ,0.00 ,13.90 ,9.95 ,8.05 ,0.00 ,,,,,SUPERNOVA,VITA BLACKIF0067,3.82 ,195.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,8.99 ,3.6387,,Taux normal,,813
5600450611570,VITA BLACK ALOE VERA HUILE - 100ML,SOIN CAPILLAIRE,HUILE,,,VITA HAIR,6.36 ,3.59 ,2.66 ,0.00 ,6.90 ,3.90 ,2.89 ,0.00 ,,,,,SUPERNOVA,VITA BLACKIF0065,1.41 ,13.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,4.95 ,4.8936,,Taux normal,,1557
5600450611433,VITA BLACK ALOE VERA LEAVE IN - 500ML,SOIN CAPILLAIRE,LOTION,,,VITA HAIR,12.81 ,9.17 ,7.42 ,0.00 ,13.90 ,9.95 ,8.05 ,0.00 ,,,,,SUPERNOVA,VITA BLACKIF0068,3.82 ,86.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,8.99 ,3.6387,,Taux normal,,1490
5600450611228,VITA BLACK ALOE VERA SHAMPOOING - 500ML,SOIN CAPILLAIRE,SHAMPOOING,,,VITA HAIR,12.81 ,9.17 ,7.42 ,0.00 ,13.90 ,9.95 ,8.05 ,0.00 ,,,,,SUPERNOVA,VITA BLACKIF066,3.82 ,116.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,8.99 ,3.6387,,Taux normal,,80
5600450604626,VITA BLACK BK 7X1 CREME REDUCTRICE VOLUME - 400ML,SOIN CAPILLAIRE,CREME COIFFANTE,,,VITA HAIR,12.81 ,8.20 ,6.73 ,0.00 ,13.90 ,8.90 ,7.30 ,0.00 ,,,,,SUPERNOVA,VITA BLACKIF0006,2.81 ,63.000,0.000,60.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,10.00 ,4.9466,ARPC1OBX1742,Taux normal,,1742
5600450604589,VITA BLACK BK APRES-SHAMPOOING - 400ML,SOIN CAPILLAIRE,APRES-SHAMPOOING,,,VITA HAIR,10.97 ,8.20 ,6.73 ,0.00 ,11.90 ,8.90 ,7.30 ,0.00 ,,,,,SUPERNOVA,VITA BLACKIF0002,2.68 ,11.000,0.000,36.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,8.29 ,4.4403,ARPC1OBX1748,Taux normal,,1748
5600450610757,VITA BLACK BK LEAVE IN 10EN1 - 1L,SOIN CAPILLAIRE,LOTION,,,VITA HAIR,18.34 ,14.47 ,10.14 ,0.00 ,19.90 ,15.70 ,11.00 ,0.00 ,,,,,SUPERNOVA,VITA BLACKIF0055,4.82 ,19.000,0.000,48.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,13.52 ,4.1286,,Taux normal,,175
5600450607603,VITA BLACK BK LEAVE IN CREME - 400ML,SOIN CAPILLAIRE,CREME COIFFANTE,,,VITA HAIR,12.81 ,8.20 ,6.91 ,0.00 ,13.90 ,8.90 ,7.50 ,0.00 ,,,,,SUPERNOVA,VITA BLACKIF0050,2.81 ,61.000,0.000,60.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,10.00 ,4.9466,,Taux normal,,596
5600450604572,VITA BLACK BK SHAMPOOING - 400ML,SOIN CAPILLAIRE,SHAMPOOING,,,VITA HAIR,11.89 ,9.12 ,7.28 ,0.00 ,12.90 ,9.90 ,7.90 ,0.00 ,,,,,SUPERNOVA,VITA BLACKIF0001,2.81 ,14.000,0.000,48.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,09.08,4.5907,ARPC1OBX1749,Taux normal,,1749
VITAOIL,VITA BLACK HUILE VEGETALES - 100ML,SOIN CAPILLAIRE,HUILE,,,VITA HAIR,4.56 ,3.64 ,2.40 ,0.00 ,4.95 ,3.95 ,2.60 ,0.00 ,,,,,SUPERNOVA,,1.41 ,65.000,0.000,72.000,0.000,0.000,0.000,0.000,,,0.00 ,,0.00%,1 pts = 1 ,10,,,0,0,3.15 ,3.5106,,Taux normal,,1109
